Fecha; A�o ;Municipio;Paraje;Causa;Rasa;Arbolada; Total_(ha) ;X1;Y1;Latitud;Longitud
13/06/2022;2022;Culla;Mas la Llorensa;Rayo;0.003;0; <1 ;745223;4464511;40.29514517;-0.114921677
13/06/2022;2022;Culla;El Molinell;Rayo;0.068;0; <1 ;746299;4469920;40.34349776;-0.10019447
15/06/2022;2022;Vallibona;Pic de la Serreta;Rayo;0.081;0; <1 ;765651;4502493;40.63057617;0.14097898
17/06/2022;2022;Altura;Barranco Masó;Rayo;0.6;0; <1 ;710143;4413265;39.84341698;-0.543884822
22/06/2022;2022;Zorita del Maestrazgo;El Chorrador;Otras Causas;0.002;0; <1 ;740706;4518810;40.785032;-0.147335493
29/06/2022;2022;Zorita del Maestrazgo;Camino Ros;Rayo;0.02;0.003; <1 ;737253;4513716;40.74020151;-0.190143014
06/07/2022;2022;Borriol;La Penya;Rayo;0;0.01; <1 ;751150;4441723;40.08835018;-0.054168639
17/07/2022;2022;Coves de Vinromà (les);els Quericons;Intencionado;2.824;0;2.82;766557;4467503;40.31553292;0.136979642
23/07/2022;2022;Fuentes de Ayódar;Almajal;Negligencia;0;3.253;3.25;719973;4433388;40.02205149;-0.422310362
26/07/2022;2022;Catí;Barranco de la Canaleta;Rayo;0.02;0; <1 ;754325;4484064;40.46834224;-0.000171606
26/07/2022;2022;Ares del Maestrat;Mas de Estaca;Rayo;0.004;0; <1 ;748630;4482330;40.45446422;-0.067940125
26/07/2022;2022;Morella;Mas de las Llomas;Rayo;0.24;0; <1 ;749219;4485266;40.48070365;-0.059850084
29/07/2022;2022;Coves de Vinromà (les);Les Pardes;Rayo;0.006;0; <1 ;762167;4466463;40.30756569;0.084961238
15/08/2022;2022;Bejís;Arteas de Arriba;Rayo;13531.921;2233.694;15,765.62;692494;4418249;39.89247127;-0.748539439
17/08/2022;2022;Cinctorres;Greu del Gelat;Rayo;0;0.001; <1 ;733202;4493796;40.5621125;-0.245453258
18/08/2022;2022;Toro (el);El Palancar;Rayo;0;1.984;1.98;692304;4432875;40.02419075;-0.746439761
26/08/2022;2022;Villahermosa del Río;La Cimorra;Rayo;0;0.002; <1 ;721496;4449924;40.17048335;-0.398816422
03/09/2022;2022;Sant Mateu;Font de Morella;Intencionado;0.025;0; <1 ;767797;4485627;40.4781708;0.159170177
06/09/2022;2022;Altura;La Rapita;Rayo;0.225;0.102; <1 ;712126;4416475;39.87181914;-0.519687599
09/09/2022;2022;Xodos/Chodos;Gargan;Rayo;5.267;1.121;6.39;728632;4457554;40.23723762;-0.312386788
11/09/2022;2022;Cortes de Arenoso;Casa del Pinar;Rayo;3.461;1.32;4.78;712999;4444234;40.12146609;-0.500390112
16/09/2022;2022;Coves de Vinromà (les);Els Quericons;Rayo;0;0; <1 ;766433;4468298;40.32272411;0.135853606
16/09/2022;2022;Pobla Tornesa (la);La Talaia;Rayo;0;0; <1 ;755195;4441568;40.08573981;-0.006845145
18/09/2022;2022;Onda;Río Seco (Miralcamp);Intencionado;1.081;0;1.08;738109;4425769;39.94856695;-0.212807277
18/09/2022;2022;Montanejos;Los Planos;Rayo;0;0.006; <1 ;710832;4439269;40.07732088;-0.527417217
02/10/2022;2022;Useres (les)/Useras;Passada dels Perxets;Desconocida / En investigación;0.05;0; <1 ;744771;4450482;40.16904385;-0.125579491
13/10/2022;2022;Montanejos;La Manzana;Rayo;0;1.273;1.27;710307;4441619;40.09860515;-0.532804846
12/11/2022;2022;Vallibona;Tossal Gross;Rayo;0;0; <1 ;754425;4496969;40.58441246;0.006194044
02/04/2017;2017;Arañuel;Corral Carrao;Rayo;0;0.12; <1 ;713343;4442102;40.10218876;-0.497060801
09/04/2017;2017;Ares del Maestrat;Pla de Catalina;Negligencia;0.1;0; <1 ;750406;4473097;40.37086029;-0.050654476
23/04/2017;2017;Peníscola/Peñíscola;Ermita de Sant Antoni;Otras Causas;1;0;1;785225;4471468;40.34503096;0.358097738
28/05/2017;2017;Segorbe;Arguinas;Negligencia;0;0.002; <1 ;723261;4404871;39.76451843;-0.393565235
04/06/2017;2017;Cirat;Alto de la Mojeta;Rayo;0;0.003; <1 ;716565;4439552;40.07841399;-0.460148956
07/07/2017;2017;Barracas;Mairana;Rayo;0.003;0; <1 ;698751;4429067;39.98841638;-0.672112289
14/07/2017;2017;Villahermosa del Río;Mas de Celades;Rayo;0;0; <1 ;721528;4458169;40.24468125;-0.3956005
19/07/2017;2017;Cervera del Maestre;Lo Maset;Intencionado;0;0.9; <1 ;783055;4480208;40.42437633;0.336471003
22/07/2017;2017;Sant Mateu;Tolls;Intencionado;3;8.73;11.73;770310;4485209;40.47359713;0.18859432
